Julius Fisher,89,86,0,82,81,55,96,85
Valentina Murray,70,88,62,83,100,97,57,70
Hester Tillman,53,98,59,94,87,84,90,80
Winnifred Huel,87,86,87,93,89,65,67,69
Johnathon Jenkins,72,88,76,56,84,77,75,69
Ima Reinger,65,92,87,52,92,100,51,88
Torey Lakin,100,95,78,57,84,56,85,85
Lavada Pouros,83,82,98,94,96,93,96,60
Vincenza O'Kon,51,91,87,52,95,72,80,83
Katherine MacGyver,93,91,99,98,83,98,84,98
Henri Bayer,96,91,90,80,85,96,86,85
Evelyn Cassin,88,99,98,0,67,65,98,94
Frieda Marquardt,89,96,86,100,80,84,78,95
Adolf Schultz,62,100,87,53,92,99,56,86
Alvis Lockman,74,92,73,98,91,92,97,81
Rafaela Heaney,61,63,100,87,85,80,72,93
Jermaine Bergnaum,85,93,94,62,68,75,86,97
Sanford Kuphal,57,93,80,100,97,94,98,55
Gonzalo Zboncak,65,56,59,51,91,70,67,89
Nestor Raynor,76,98,96,96,97,55,82,79
Jensen Paucek,88,90,77,52,99,100,89,100
Hector Wilderman,81,75,81,82,91,56,98,74
Marquise Witting,77,61,88,63,89,74,71,79
Phyllis Bogan,59,85,0,87,51,80,96,51
Carolyne Walsh,99,93,81,79,97,77,96,90
Maximo Orn,70,59,68,98,83,97,63,84
Mortimer Monahan,93,60,88,75,82,52,66,70
Lia Emmerich,54,87,79,52,50,88,69,89
Wilma Rolfson,92,90,85,96,87,51,54,89
Mavis Cassin,92,90,67,65,87,85,92,84
Hilton Murphy,52,91,83,96,96,93,75,69
Caroline Maggio,82,55,91,85,87,91,94,97
Ardith Strosin,80,81,87,69,73,51,89,56
Dax Green,89,81,0,88,82,94,52,92
Ara Zemlak,91,95,94,83,70,64,93,0
Devonte Cassin,99,84,63,86,87,91,82,85
Jamel Koepp,76,73,85,94,0,53,63,100
Ericka Pfannerstill,85,68,83,93,80,86,59,98
Brennan Vandervort,78,87,58,78,100,93,83,95
Kayley Brekke,62,99,94,86,84,52,63,54
Minnie Emard,87,96,88,97,66,88,97,53
Lee Stracke,89,63,86,80,58,76,67,94
Shaun Wehner,93,76,0,62,55,83,57,0
Pink O'Keefe,92,81,90,97,84,81,83,81
Josianne Kris,85,95,81,95,57,86,88,88
Cortney Tillman,87,85,93,50,87,90,62,81
Jake Batz,60,88,94,74,90,92,63,83
Barrett Hickle,57,67,89,67,96,80,100,73
Dock Kshlerin,83,84,90,90,91,100,72,96
Luigi Huel,95,83,62,82,90,98,96,100
Jordane Ortiz,92,84,71,93,91,90,80,99
Stephon Klein,89,89,82,97,50,97,66,99
Emile Kemmer,92,84,89,76,58,83,93,99
Braden Pollich,92,51,89,80,82,89,88,83
Addie Graham,51,99,90,98,95,96,87,83
